Grid Position,Name,Type,Classification,System Type,System Name,Orbital Position,Star Size Rank,Planet Size Rank,Spectral Type,Evolutionary Stage,Star Special Characteristics,Size-Based Classification,Composition-Based Classification,Habitability,Planet Special Characteristics,Orbit Number,Distance from Star (AU),X,Y,Quadrant_16,Old_Name,Old_Name_Esperanto,Esperanto_Name,Meaning,Planet Classification Codes,Planet Classification Descriptions
225-105,Montumo-Nova,Star,K-MS-Q,Trinary Star System,CieloMountainSistemo,-,9.3,,Orange Star,Main Sequence,Quasar,,,,,,,225,105,7,MaroWaterStelo,CieloMonto [225-105],Montumo-Nova,mountain — new/variant,,
92-8,Astrideto-Nova,Star,K-MS-Q,Binary Star System,SteloFireSistemo,-,9.3,,Orange Star,Main Sequence,Quasar,,,,,,,92,8,1,TeroStarStelo,Fire,Astrideto-Nova,celestial body — new/variant,,
334-90,Marego-Nova,Star,K-MS-Mg,Solitary Star System,MaroSeaSistemo,-,9.2,,Orange Star,Main Sequence,Magnetar,,,,,,,334,90,4,MontoLightStelo,Maro [334-90],Marego-Nova,sea — new/variant,,
3-366,Ventejaro,Star,K-MS-P,Binary Star System,VentoWindSistemo,-,9.1,,Orange Star,Main Sequence,Pulsar,,,,,,,3,366,13,FajroLightStelo,Vento [3-366],Ventejaro,wind — domain cluster,,
193-109,Astregumo-Nova,Star,K-MS-P,Binary Star System,NoktoSkySistemo,-,9.1,,Orange Star,Main Sequence,Pulsar,,,,,,,193,109,6,CieloWindStelo,NoktoCielo,Astregumo-Nova,celestial body — new/variant,,
45531,Mareto-Nova,Star,M-NS-D,Binary Star System,MaroSkySistemo,-,9.0,,Red Dwarf,Neutron Star,Dyson Star,,,,,,,8,27,1,NoktoFireStelo,MaroCielo,Mareto-Nova,sea — new/variant,,
334-1,Lumido-Nova,Star,K-M-A,Trinary Star System,LumoStelo,-,9.0,,White Star,,,,,,,,,334,1,4,,LumoSteloStelo,Lumido-Nova,light — new/variant,,
37-214,Montegujo-Nova,Star,K-F-F,Trinary Star System,MontoOrbito,-,9.0,,Yellow-White Star,,,,,,,,,37,214,9,MontoOrbitoStelo,Monto [37-214],Montegujo-Nova,mountain — new/variant,,
387-123,Lumego-Nova,Star,K-F-B,Binary Star System,LumoGalaksio,-,9.0,,Blue-White Star,,,,,,,,,387,123,8,,LumoGalaksioStelo,Lumego-Nova,light — new/variant,,
385-220,Astretaro-Nova,Star,K-F-B,Solitary Star System,NoktoUniverso,-,9.0,,Blue-White Star,,,,,,,,,385,220,12,NoktoUniversoStelo,Nokto [385-220],Astretaro-Nova,celestial body — new/variant,,
203-132,Ventideto,Star,K-F-O,Trinary Star System,VentoAero,-,9.0,,Blue Giant,,,,,,,,,203,132,6,VentoAeroStelo,VentoAero,Ventideto,wind — minor moon,,
32-330,Ventegumo,Star,M-NS-Q,Binary Star System,VentoLightSistemo,-,8.8,,Red Dwarf,Neutron Star,Quasar,,,,,,,32,330,13,NoktoNightStelo,VentoLumo,Ventegumo,wind — great energy form,,
329-42,Astregejo-Nova,Star,M-WB-D,Binary Star System,TeroSkySistemo,-,8.5,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,329,42,4,CieloSeaStelo,TeroCielo,Astregejo-Nova,celestial body — new/variant,,
391-180,Akvegejo,Star,M-WB-D,Trinary Star System,AkvoWindSistemo,-,8.5,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,391,180,8,MaroSkyStelo,Akvovento [391-180],Akvegejo,water — great domain,,
5-127,Fajregumo,Star,M-WB-W,Binary Star System,FajroWindSistemo,-,8.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,5,127,5,MaroNightStelo,FajroVento [5-127],Fajregumo,fire — great energy form,,
181-59,Ventetaro,Star,M-WB-W,Binary Star System,VentoMountainSistemo,-,8.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,181,59,2,NoktoWaterStelo,VentoMonto,Ventetaro,wind — small cluster,,
337-236,Akvujo-Nova,Star,M-WB-Q,Trinary Star System,AkvoEarthSistemo,-,8.3,,Blue-White Star,White Dwarf,Quasar,,,,,,,337,236,12,AkvoMountainStelo,AkvoTero [337-236],Akvujo-Nova,water — new/variant,,
124-409,Lumeto-Nova,Star,M-WB-Q,Trinary Star System,LumoFireSistemo,-,8.3,,Blue-White Star,White Dwarf,Quasar,,,,,,,124,409,14,VentoFireStelo,LumoFire [124-409],Lumeto-Nova,light — new/variant,,
354-373,Akvaro-Nova,Star,M-WB-P,Binary Star System,AkvoNightSistemo,-,8.1,,Blue-White Star,White Dwarf,Pulsar,,,,,,,354,373,16,NoktoLightStelo,AkvoNokto,Akvaro-Nova,water — new/variant,,
5-127,Fajretaro,Star,M-WB-P,Trinary Star System,FajroWindSistemo,-,8.1,,Blue-White Star,White Dwarf,Pulsar,,,,,,,5,127,5,AkvoWaterStelo,FajroVento [5-127],Fajretaro,fire — small cluster,,
230-386,Marejo-Nova,Star,M-RG-D,Binary Star System,MaroStarSistemo,-,8.0,,Yellow Star,Red Giant,Dyson Star,,,,,,,230,386,15,FajroStarStelo,Maro [230-386],Marejo-Nova,sea — new/variant,,
292-410,Marumo-Nova,Star,M-RG-W,Trinary Star System,MaroNightSistemo,-,7.9,,Yellow Star,Red Giant,Wormhole Star,,,,,,,292,410,15,LumoEarthStelo,MaroNokto [292-410],Marumo-Nova,sea — new/variant,,
287-143,Maregujo-Nova,Star,C-BH-D,Binary Star System,CieloSeaSistemo,-,7.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,287,143,7,AkvoMountainStelo,CieloMaro,Maregujo-Nova,sea — new/variant,,
119-47,Akvido-Nova,Star,M-MS-W,Trinary Star System,AkvoMountainSistemo,-,7.4,,Red Dwarf,Main Sequence,Wormhole Star,,,,,,,119,47,2,MontoSkyStelo,AkvoMonto [119-47],Akvido-Nova,water — new/variant,,
148-28,Stelejo,Star,M-MS-W,Solitary Star System,SteloLightSistemo,-,7.4,,Red Dwarf,Main Sequence,Wormhole Star,,,,,,,148,28,2,,TeroWaterStelo,Stelejo,star — domain / sanctuary,,
303-359,Montetujo-Nova,Star,C-BH-Q,Binary Star System,MontoWindSistemo,-,7.3,,Blue-White Star,Black Hole,Quasar,,,,,,,303,359,15,TeroMountainStelo,MontoVento [303-359],Montetujo-Nova,mountain — new/variant,,
244-172,Astrujo-Novego,Star,C-BH-Mg,Binary Star System,CieloSkySistemo,-,7.2,,Blue-White Star,Black Hole,Magnetar,,,,,,,244,172,7,SteloMountainStelo,Cielo [244-172],Astrujo-Novego,celestial body — new/giant,,
297-259,Maretujo-Nova,Star,M-MS-Mg,Trinary Star System,MaroMountainSistemo,-,7.2,,Red Dwarf,Main Sequence,Magnetar,,,,,,,297,259,11,VentoMountainStelo,MaroMonto [297-259],Maretujo-Nova,sea — new/variant,,
269-174,Maregaro-Nova,Star,C-BH-P,Trinary Star System,MaroFireSistemo,-,7.1,,Blue-White Star,Black Hole,Pulsar,,,,,,,269,174,7,MaroWindStelo,MaroFire,Maregaro-Nova,sea — new/variant,,
39-137,Astraro-Novego,Star,C-NS-D,Solitary Star System,NoktoFireSistemo,-,7.0,,Carbon Star,Neutron Star,Dyson Star,,,,,,,39,137,5,TeroWaterStelo,NoktoFire [39-137],Astraro-Novego,celestial body — new/giant,,
359-353,Marejaro-Nova,Star,M-O-F,Binary Star System,MaroKosmo,-,7.0,,Blue Giant,,,,,,,,,359,353,16,MaroKosmoStelo,Maro [359-353],Marejaro-Nova,sea — new/variant,,
61-266,Marideto-Nova,Star,M-O-G,Binary Star System,MaroOrbito,-,7.0,,Blue Giant,,,,,,,,,61,266,9,MaroOrbitoStelo,Maro [61-266],Marideto-Nova,sea — new/variant,,
196-116,Astrido-Novego,Star,M-F-O,Solitary Star System,TeroGalaksio,-,7.0,,Blue Giant,,,,,,,,,196,116,6,TeroGalaksioStelo,Tero [196-116],Astrido-Novego,celestial body — new/giant,,
124-413,Astrego-Novego,Star,M-A-K,Solitary Star System,NoktoStelo,-,7.0,,White Star,,,,,,,,,124,413,14,NoktoSteloStelo,Nokto [124-413],Astrego-Novego,celestial body — new/giant,,
300-215,Astreto-Novego,Star,M-A-O,Trinary Star System,TeroKosmo,-,7.0,,Blue Giant,,,,,,,,,300,215,11,TeroKosmoStelo,Tero [300-215],Astreto-Novego,celestial body — new/giant,,
381-228,Akvego-Nova,Star,C-NS-Mg,Solitary Star System,AkvoSeaSistemo,-,6.7,,Red Dwarf,Neutron Star,Magnetar,,,,,,,381,228,12,TeroFireStelo,AkvoMaro,Akvego-Nova,water — new/variant,,
5-210,Lumejo-Nova,Star,C-WB-W,Solitary Star System,NoktoLightSistemo,-,6.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,5,210,9,VentoFireStelo,NoktoLumo [5-210],Lumejo-Nova,light — new/variant,,
32-330,Ventegejo,Star,C-WB-Mg,Binary Star System,VentoLightSistemo,-,6.2,,Blue-White Star,White Dwarf,Magnetar,,,,,,,32,330,13,VentoFireStelo,VentoLumo [32-330],Ventegejo,wind — great domain,,
156-20,Montegaro-Nova,Star,C-WB-Mg,Solitary Star System,MontoSeaSistemo,-,6.2,,Blue-White Star,White Dwarf,Magnetar,,,,,,,156,20,2,AkvoNightStelo,Montomaro,Montegaro-Nova,mountain — new/variant,,
21-217,Lumumo-Nova,Star,C-WB-P,Trinary Star System,LumoSeaSistemo,-,6.1,,Blue-White Star,White Dwarf,Pulsar,,,,,,,21,217,9,CieloEarthStelo,LumoMaro,Lumumo-Nova,light — new/variant,,
269-174,Maregumo-Nova,Star,C-RG-D,Solitary Star System,MaroFireSistemo,-,6.0,,Yellow Star,Red Giant,Dyson Star,,,,,,,269,174,7,MaroWaterStelo,MaroFire [269-174],Maregumo-Nova,sea — new/variant,,
119-47,Akveto-Nova,Star,C-RG-W,Solitary Star System,AkvoMountainSistemo,-,5.9,,Yellow Star,Red Giant,Wormhole Star,,,,,,,119,47,2,NoktoWindStelo,AkvoMonto [119-47],Akveto-Nova,water — new/variant,,
390-323,Fajregejo,Star,C-RG-Q,Binary Star System,FajroMountainSistemo,-,5.8,,Yellow Star,Red Giant,Quasar,,,,,,,390,323,16,CieloMountainStelo,FajroMonto [390-323],Fajregejo,fire — great domain,,
274-302,Maretaro-Nova,Star,C-MS-W,Binary Star System,MaroLightSistemo,-,5.4,,Red Dwarf,Main Sequence,Wormhole Star,,,,,,,274,302,11,FajroNightStelo,MaroLumo [274-302],Maretaro-Nova,sea — new/variant,,
19-168,Maregejo-Nova,Star,C-MS-Q,Trinary Star System,MaroWindSistemo,-,5.3,,Red Dwarf,Main Sequence,Quasar,,,,,,,19,168,5,NoktoLightStelo,MaroVento [19-168],Maregejo-Nova,sea — new/variant,,
318-220,Montejaro-Nova,Star,T-BH-Q,Solitary Star System,MontoNightSistemo,-,5.3,,Blue-White Star,Black Hole,Quasar,,,,,,,318,220,12,FajroEarthStelo,MontoNokto,Montejaro-Nova,mountain — new/variant,,
285-344,Montideto-Nova,Star,C-MS-Mg,Solitary Star System,NoktoMountainSistemo,-,5.2,,Red Dwarf,Main Sequence,Magnetar,,,,,,,285,344,15,MontoMountainStelo,NoktoMonto [285-344],Montideto-Nova,mountain — new/variant,,
159-259,Astrejo-Novego,Star,T-BH-Mg,Trinary Star System,NoktoStarSistemo,-,5.2,,Blue-White Star,Black Hole,Magnetar,,,,,,,159,259,10,MontoLightStelo,Nokto [159-259],Astrejo-Novego,celestial body — new/giant,,
387-162,Akvejo-Nova,Star,T-BH-P,Trinary Star System,TeroWaterSistemo,-,5.1,,Blue-White Star,Black Hole,Pulsar,,,,,,,387,162,8,SteloStarStelo,TeroAkvo [387-162],Akvejo-Nova,water — new/variant,,
122-55,Ventujo-Nova,Star,C-MS-P,Solitary Star System,VentoNightSistemo,-,5.1,,Red Dwarf,Main Sequence,Pulsar,,,,,,,122,55,2,TeroSkyStelo,VentoNokto,Ventujo-Nova,wind — new/variant,,
175-409,Fajrujo-Nova,Star,C-MS-P,Trinary Star System,FajroEarthSistemo,-,5.1,,Red Dwarf,Main Sequence,Pulsar,,,,,,,175,409,14,MaroLightStelo,FajroTero,Fajrujo-Nova,fire — new/variant,,
181-59,Ventaro-Nova,Star,T-NS-D,Binary Star System,VentoMountainSistemo,-,5.0,,Brown Dwarf,Neutron Star,Dyson Star,,,,,,,181,59,2,CieloFireStelo,VentoMonto [181-59],Ventaro-Nova,wind — new/variant,,
32-408,Fajraro-Nova,Star,T-NS-W,Solitary Star System,FajroWaterSistemo,-,4.9,,Brown Dwarf,Neutron Star,Wormhole Star,,,,,,,32,408,13,SteloLightStelo,FajroAkvo [32-408],Fajraro-Nova,fire — new/variant,,
389-209,Ventido-Nova,Star,T-WB-D,Trinary Star System,TeroWindSistemo,-,4.5,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,389,209,12,NoktoWaterStelo,TeroVento [389-209],Ventido-Nova,wind — new/variant,,
169-271,Akvumo-Nova,Star,T-RG-D,Solitary Star System,AkvoWaterSistemo,-,4.0,,Yellow Star,Red Giant,Dyson Star,,,,,,,169,271,10,TeroMountainStelo,Akvo [169-271],Akvumo-Nova,water — new/variant,,
92-8,Astrumo-Novego,Star,T-RG-Q,Trinary Star System,SteloFireSistemo,-,3.8,,Yellow Star,Red Giant,Quasar,,,,,,,92,8,1,LumoFireStelo,Fire [92-8],Astrumo-Novego,celestial body — new/giant,,
358-335,Montegumo-Nova,Star,T-RG-Mg,Solitary Star System,MontoStarSistemo,-,3.7,,Yellow Star,Red Giant,Magnetar,,,,,,,358,335,16,MontoWaterStelo,Monto [358-335],Montegumo-Nova,mountain — new/variant,,
23-7,Ventego-Nova,Star,T-RG-P,Solitary Star System,SteloWindSistemo,-,3.6,,Yellow Star,Red Giant,Pulsar,,,,,,,23,7,1,MaroNightStelo,Vento [23-7],Ventego-Nova,wind — new/variant,,
390-323,Fajrido-Nova,Planet,LS-CR-ES-FL-CI,Binary Star System,FajroMountainSistemo,1,,2.47,,,,Cryo-Giant,Carborane,Elysian Sphere,Chronos Isles,1.0,1.0,390,323,16,MontoNightPlanedo,FajroMonto [390-323],Fajrido-Nova,fire — new/variant,,
390-323,Fajrego-Nova,Planet,TL-FC-F-S-CI,Binary Star System,FajroMountainSistemo,2,,1.95,,,,Terraclade,Ferrocore,Pioneera,Chronos Isles,2.0,2.0,390,323,16,LumoSkyPlanedo,FajroMonto [390-323],Fajrego-Nova,fire — new/variant,,
390-323,Fajreto-Nova,Planet,TL-H-F-FL-MM,Binary Star System,FajroMountainSistemo,3,,1.95,,,,Terraclade,Hydro-Realm,Pioneera,Mirage Moons,3.0,3.0,390,323,16,AkvoWindPlanedo,FajroMonto [390-323],Fajreto-Nova,fire — new/variant,,
213-150,Montetaro-Nova,Planet,TL-DS-F-S-CI,Binary Star System,MontoMountainSistemo,1,,1.95,,,,Terraclade,Aridane,Pioneera,Chronos Isles,1.0,0.5,213,150,7,NoktoMountainPlanedo,Monto [213-150],Montetaro-Nova,mountain — new/variant,,
213-150,Montegejo-Nova,Planet,PR-DS-V-FL-CI,Binary Star System,MontoMountainSistemo,2,,0.13,,,,Proto-Realm,Aridane,Pioneera,Chronos Isles,2.0,1.5,213,150,7,VentoWindPlanedo,Monto [213-150],Montegejo-Nova,mountain — new/variant,,
32-330,Venteto-Nova,Planet,NT-H-ES-FL-MM,Binary Star System,VentoLightSistemo,1,,0.13,,,,Nebulae Titan,Hydro-Realm,Elysian Sphere,Mirage Moons,1.0,0.5,32,330,13,SteloWaterPlanedo,VentoLumo [32-330],Venteto-Nova,wind — new/variant,,
254-343,Astregujo-Novego,Planet,I-OA-ES-FL-MM,Trinary Star System,SteloNightSistemo,1,,0.13,,,,Cryo-Giant,Oceanara,Elysian Sphere,Mirage Moons,1.0,0.5,254,343,15,MaroLightPlanedo,Nokto [254-343],Astregujo-Novego,celestial body — new/giant,,
254-343,Astretujo-Novego,Planet,NT-CR-F-FL-CI,Trinary Star System,SteloNightSistemo,2,,0.13,,,,Nebulae Titan,Carborane,Pioneera,Chronos Isles,2.0,1.5,254,343,15,NoktoEarthPlanedo,Nokto [254-343],Astretujo-Novego,celestial body — new/giant,,
364-147,Marujo-Novego,Planet,LS-H-V-FL-MM,Binary Star System,MaroEarthSistemo,1,,2.47,,,,Lilliput Sphere,Hydro-Realm,Pioneera,Mirage Moons,1.0,0.5,364,147,8,MontoEarthPlanedo,MaroTero [364-147],Marujo-Novego,sea — new/giant,,
364-147,Mararo-Novego,Planet,I-CR-V-NW-MM,Binary Star System,MaroEarthSistemo,2,,0.13,,,,Cryo-Giant,Carborane,Nihility,Mirage Moons,2.0,1.5,364,147,8,FajroStarPlanedo,MaroTero [364-147],Mararo-Novego,sea — new/giant,,
364-147,Marido-Novego,Planet,LS-H-ES-S-CI,Binary Star System,MaroEarthSistemo,3,,2.47,,,,Cryo-Giant,Hydro-Realm,Elysian Sphere,Chronos Isles,3.0,2.5,364,147,8,NoktoWindPlanedo,MaroTero [364-147],Marido-Novego,sea — new/giant,,
387-162,Akvegujo-Nova,Planet,NT-FC-V-NW-CI,Trinary Star System,TeroWaterSistemo,1,,0.13,,,,Nebulae Titan,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,387,162,8,FajroNightPlanedo,TeroAkvo [387-162],Akvegujo-Nova,water — new/variant,,
235-65,Marego-Novego,Planet,TL-FC-F-S-CI,Trinary Star System,TeroSeaSistemo,1,,1.95,,,,Terraclade,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,235,65,3,MontoSkyPlanedo,TeroMaro [235-65],Marego-Novego,sea — new/giant,,
175-86,Lumegujo-Nova,Planet,TL-DS-V-FL-CI,Solitary Star System,LumoSkySistemo,1,,1.95,,,,Terraclade,Aridane,Pioneera,Chronos Isles,1.0,1.0,175,86,2,TeroWindPlanedo,Lumosky [175-86],Lumegujo-Nova,light — new/variant,,
175-86,Lumetujo-Nova,Planet,I-OA-F-FL-CI,Solitary Star System,LumoSkySistemo,2,,0.13,,,,Cryo-Giant,Oceanara,Pioneera,Chronos Isles,2.0,2.0,175,86,2,LumoWindPlanedo,Lumosky [175-86],Lumetujo-Nova,light — new/variant,,
175-86,Lumegaro-Nova,Planet,LS-H-ES-NW-MM,Solitary Star System,LumoSkySistemo,3,,2.47,,,,Lilliput Sphere,Hydro-Realm,Elysian Sphere,Mirage Moons,3.0,3.0,175,86,2,NoktoWaterPlanedo,Lumosky [175-86],Lumegaro-Nova,light — new/variant,,
119-47,Akvetujo-Nova,Planet,TL-CR-F-FL-CI,Binary Star System,AkvoMountainSistemo,1,,1.95,,,,Terraclade,Carborane,Pioneera,Chronos Isles,1.0,0.5,119,47,2,FajroWaterPlanedo,AkvoMonto [119-47],Akvetujo-Nova,water — new/variant,,
172-106,Planedujo,Planet,NT-H-F-S-MM,Trinary Star System,SteloStarSistemo,1,,0.13,,,,Nebulae Titan,Hydro-Realm,Pioneera,Mirage Moons,1.0,0.5,172,106,6,,NoktoFirePlanedo,Planedujo,planet — world / place,,
32-330,Ventejo-Nova,Planet,PR-DS-F-FL-MM,Binary Star System,VentoLightSistemo,1,,0.13,,,,Proto-Realm,Aridane,Pioneera,Mirage Moons,2.0,2.0,32,330,13,CieloFirePlanedo,VentoLumo [32-330],Ventejo-Nova,wind — new/variant,,
32-330,Ventumo-Nova,Planet,PR-DS-V-FL-CI,Binary Star System,VentoLightSistemo,2,,0.13,,,,Proto-Realm,Aridane,Pioneera,Chronos Isles,3.0,2.5,32,330,13,SteloWaterPlanedo,VentoLumo [32-330],Ventumo-Nova,wind — new/variant,,
337-236,Akvegaro-Nova,Planet,I-FC-ES-S-CI,Trinary Star System,AkvoEarthSistemo,1,,0.13,,,,Cryo-Giant,Ferrocore,Elysian Sphere,Chronos Isles,1.0,0.5,337,236,12,FajroFirePlanedo,AkvoTero [337-236],Akvegaro-Nova,water — new/variant,,
172-106,Montujo-Novego,Planet,I-FC-V-S-MM,Trinary Star System,SteloStarSistemo,1,,0.13,,,,Cryo-Giant,Ferrocore,Pioneera,Mirage Moons,2.0,1.5,172,106,6,,MontoNightPlanedo,Montujo-Novego,mountain — new/giant,,
172-106,Stelumo,Planet,PR-DS-V-S-MM,Trinary Star System,SteloStarSistemo,2,,0.13,,,,Proto-Realm,Aridane,Nihility,Mirage Moons,3.0,2.5,172,106,6,,SteloFirePlanedo,Stelumo,star — abstract / energy,,
49-271,Montaro-Novego,Planet,NT-OA-ES-S-MM,Binary Star System,LumoLightSistemo,1,,0.13,,,,Nebulae Titan,Oceanara,Elysian Sphere,Mirage Moons,1.0,0.5,49,271,9,,MontoSeaPlanedo,Montaro-Novego,mountain — new/giant,,
49-271,Planedaro,Planet,PR-DS-ES-FL-CI,Binary Star System,LumoLightSistemo,2,,0.13,,,,Proto-Realm,Aridane,Elysian Sphere,Chronos Isles,2.0,1.5,49,271,9,,NoktoEarthPlanedo,Planedaro,planet — cluster / collection,,
215-167,Akvejaro-Nova,Planet,TL-H-F-S-MM,Solitary Star System,CieloWaterSistemo,1,,1.95,,,,Terraclade,Hydro-Realm,Pioneera,Mirage Moons,1.0,0.5,215,167,7,MaroWindPlanedo,CieloAkvo [215-167],Akvejaro-Nova,water — new/variant,,
225-105,Montido-Novego,Planet,NT-FC-ES-S-MM,Trinary Star System,CieloMountainSistemo,1,,0.13,,,,Nebulae Titan,Ferrocore,Elysian Sphere,Mirage Moons,1.0,0.5,225,105,7,VentoLightPlanedo,CieloMonto [225-105],Montido-Novego,mountain — new/giant,,
137-136,Ventegujo-Nova,Planet,PR-OA-F-S-CI,Solitary Star System,CieloWindSistemo,1,,0.13,,,,Proto-Realm,Oceanara,Pioneera,Chronos Isles,1.0,0.5,137,136,6,MaroMountainPlanedo,Cielvento [137-136],Ventegujo-Nova,wind — new/variant,,
225-105,Montego-Novego,Planet,TL-FC-F-S-CI,Binary Star System,CieloMountainSistemo,1,,1.95,,,,Terraclade,Ferrocore,Pioneera,Chronos Isles,2.0,1.5,225,105,7,MontoStarPlanedo,CieloMonto [225-105],Montego-Novego,mountain — new/giant,,
225-105,Monteto-Novego,Planet,PR-OA-V-S-CI,Binary Star System,CieloMountainSistemo,2,,0.13,,,,Proto-Realm,Oceanara,Nihility,Chronos Isles,3.0,2.5,225,105,7,AkvoSkyPlanedo,CieloMonto [225-105],Monteto-Novego,mountain — new/giant,,
225-105,Montejo-Novego,Planet,NT-H-V-NW-CI,Binary Star System,CieloMountainSistemo,3,,0.13,,,,Nebulae Titan,Hydro-Realm,Nihility,Chronos Isles,4.0,3.5,225,105,7,MontoFirePlanedo,CieloMonto [225-105],Montejo-Novego,mountain — new/giant,,
295-214,Montumo-Novego,Planet,NT-OA-V-NW-CI,Binary Star System,MontoSkySistemo,1,,0.13,,,,Nebulae Titan,Oceanara,Nihility,Chronos Isles,1.0,0.5,295,214,11,MaroNightPlanedo,Montocielo [295-214],Montumo-Novego,mountain — new/giant,,
295-214,Montegujo-Novego,Planet,I-H-ES-NW-MM,Binary Star System,MontoSkySistemo,2,,0.13,,,,Cryo-Giant,Hydro-Realm,Elysian Sphere,Mirage Moons,2.0,1.5,295,214,11,CieloMountainPlanedo,Montocielo [295-214],Montegujo-Novego,mountain — new/giant,,
32-408,Fajrejo-Nova,Planet,NT-OA-V-FL-MM,Solitary Star System,FajroWaterSistemo,1,,0.13,,,,Nebulae Titan,Oceanara,Pioneera,Mirage Moons,1.0,0.5,32,408,13,LumoWindPlanedo,FajroAkvo [32-408],Fajrejo-Nova,fire — new/variant,,
39-137,Astregaro-Novego,Planet,I-CR-ES-FL-MM,Solitary Star System,NoktoFireSistemo,1,,0.13,,,,Cryo-Giant,Carborane,Elysian Sphere,Mirage Moons,1.0,0.5,39,137,5,VentoWindPlanedo,NoktoFire [39-137],Astregaro-Novego,celestial body — new/giant,,
389-209,Ventetujo-Nova,Planet,TL-DS-V-S-CI,Solitary Star System,TeroWindSistemo,1,,1.95,,,,Terraclade,Aridane,Nihility,Chronos Isles,1.0,0.5,389,209,12,LumoEarthPlanedo,TeroVento [389-209],Ventetujo-Nova,wind — new/variant,,
45531,Mareto-Novego,Planet,LS-H-V-S-CI,Binary Star System,MaroSkySistemo,1,,2.47,,,,Cryo-Giant,Hydro-Realm,Nihility,Chronos Isles,1.0,0.5,8,27,1,CieloNightPlanedo,"MaroCielo [8,27]",Mareto-Novego,sea — new/giant,,
45531,Marejo-Novego,Planet,PR-FC-V-S-CI,Binary Star System,MaroSkySistemo,2,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Chronos Isles,2.0,1.5,8,27,1,MontoNightPlanedo,"MaroCielo [8,27]",Marejo-Novego,sea — new/giant,,
45531,Marumo-Novego,Planet,I-H-V-S-MM,Binary Star System,MaroSkySistemo,3,,0.13,,,,Cryo-Giant,Hydro-Realm,Nihility,Mirage Moons,3.0,2.5,8,27,1,AkvoSkyPlanedo,"MaroCielo [8,27]",Marumo-Novego,sea — new/giant,,
45531,Maregujo-Novego,Planet,LS-OA-V-NW-MM,Binary Star System,MaroSkySistemo,4,,2.47,,,,Lilliput Sphere,Oceanara,Nihility,Mirage Moons,4.0,3.5,8,27,1,FajroNightPlanedo,"MaroCielo [8,27]",Maregujo-Novego,sea — new/giant,,
92-8,Astrejaro-Novego,Planet,TL-DS-F-FL-CI,Trinary Star System,SteloFireSistemo,1,,1.95,,,,Terraclade,Aridane,Pioneera,Chronos Isles,1.0,0.5,92,8,1,NoktoWindPlanedo,Fire [92-8],Astrejaro-Novego,celestial body — new/giant,,
303-359,Montetujo-Novego,Planet,TL-CR-ES-S-CI,Binary Star System,MontoWindSistemo,1,,1.95,,,,Terraclade,Carborane,Elysian Sphere,Chronos Isles,1.0,0.5,303,359,15,TeroSeaPlanedo,MontoVento [303-359],Montetujo-Novego,mountain — new/giant,,
303-359,Montegaro-Novego,Planet,TL-OA-V-NW-MM,Binary Star System,MontoWindSistemo,2,,1.95,,,,Terraclade,Oceanara,Nihility,Mirage Moons,2.0,1.5,303,359,15,SteloSeaPlanedo,MontoVento [303-359],Montegaro-Novego,mountain — new/giant,,
303-359,Montejaro-Novego,Planet,LS-CR-V-FL-MM,Binary Star System,MontoWindSistemo,3,,2.47,,,,Lilliput Sphere,Carborane,Pioneera,Mirage Moons,3.0,2.5,303,359,15,SteloMountainPlanedo,MontoVento [303-359],Montejaro-Novego,mountain — new/giant,,
303-359,Montideto-Novego,Planet,LS-OA-V-FL-CI,Binary Star System,MontoWindSistemo,4,,2.47,,,,Cryo-Giant,Oceanara,Pioneera,Chronos Isles,4.0,3.5,303,359,15,MaroStarPlanedo,MontoVento [303-359],Montideto-Novego,mountain — new/giant,,
21-217,Lumejaro-Nova,Planet,TL-CR-ES-FL-CI,Trinary Star System,LumoSeaSistemo,1,,1.95,,,,Terraclade,Carborane,Elysian Sphere,Chronos Isles,1.0,0.5,21,217,9,TeroNightPlanedo,LumoMaro [21-217],Lumejaro-Nova,light — new/variant,,
21-217,Lumideto-Nova,Planet,LS-OA-ES-NW-CI,Trinary Star System,LumoSeaSistemo,2,,2.47,,,,Cryo-Giant,Oceanara,Elysian Sphere,Chronos Isles,2.0,1.5,21,217,9,NoktoWindPlanedo,LumoMaro [21-217],Lumideto-Nova,light — new/variant,,
21-217,Lumegumo-Nova,Planet,NT-CR-F-NW-MM,Trinary Star System,LumoSeaSistemo,3,,0.13,,,,Nebulae Titan,Carborane,Pioneera,Mirage Moons,3.0,2.5,21,217,9,VentoNightPlanedo,LumoMaro [21-217],Lumegumo-Nova,light — new/variant,,
